Dataset,Missingness Ratio,Mechanism,Iteration,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MCAR,1,local,0.9058648077510723,0.6503484826307968,0.6373415129781809,0.901574851009816,0.9058648077510723,0.6161145987906188,0.7641115394062294
breast_cancer,0.1,MCAR,2,local,0.9221158047458473,0.726771401122148,0.712235973099705,0.9368693929761662,0.9221158047458473,0.6717645557445607,0.808643345796757
breast_cancer,0.1,MCAR,3,local,0.9218169573718465,0.8061533978140537,0.7900303298577727,0.9084296224557953,0.9218169573718465,0.7515131077862173,0.8528117635096055
breast_cancer,0.1,MCAR,4,local,0.9239706499826694,0.7665853446884288,0.7512536377946601,0.9378493059358627,0.9239706499826694,0.714509103609396,0.8356725858302438
breast_cancer,0.1,MCAR,5,local,0.9337585106184041,0.6719619306960968,0.6585226920821748,0.9219840222738732,0.9337585106184041,0.6290620468326052,0.7856705635216563
breast_cancer,0.1,MCAR,6,local,0.9374089951116297,0.7684605493239148,0.7530913383374365,0.931979542419661,0.9374089951116297,0.7319903931269466,0.8406269528176187
breast_cancer,0.1,MCAR,7,local,0.9203937226518736,0.6656262619350348,0.6523137366963341,0.9139146456508034,0.9203937226518736,0.6324696051625781,0.7753707332617142
breast_cancer,0.1,MCAR,8,local,0.9176146264792839,0.6593317327824254,0.6461450981267769,0.9163168736751823,0.9176146264792839,0.621377515129563,0.767035452794609
breast_cancer,0.1,MCAR,9,local,0.9394987364648908,0.7732476106115423,0.7577826583993115,0.9395064993373481,0.9394987364648908,0.7318557801155555,0.8371341103311328
breast_cancer,0.1,MCAR,10,local,0.9241098297961501,0.6779752281131687,0.6644157235509053,0.9235860800045383,0.9241098297961501,0.6420201250566793,0.7938925462456827
breast_cancer,0.1,MAR,1,local,0.9393010424199817,0.9362197872966296,1.0,1.0,0.9393010424199817,0.9286646915635551,0.9386195926903143
breast_cancer,0.1,MAR,2,local,0.9326554888229784,0.9262108416955982,1.0,1.0,0.9326554888229784,0.9391500996984009,0.9268716192833262
breast_cancer,0.1,MAR,3,local,0.9374825120083099,0.934475347705536,1.0,1.0,0.9374825120083099,0.9295806927023343,0.9382603636809108
breast_cancer,0.1,MAR,4,local,0.9342005534739772,0.9228753199558463,1.0,1.0,0.9342005534739772,0.9367805422391867,0.9301427851651188
breast_cancer,0.1,MAR,5,local,0.9285297967666887,0.9404447344478375,1.0,1.0,0.9285297967666887,0.9288919938376458,0.9393530761443964
breast_cancer,0.1,MAR,6,local,0.9368792559604147,0.923049657278213,1.0,1.0,0.9368792559604147,0.9289149145949953,0.9324188727722887
breast_cancer,0.1,MAR,7,local,0.9338338926953254,0.9261292697784703,1.0,1.0,0.9338338926953254,0.9367039107638649,0.9256556251187404
breast_cancer,0.1,MAR,8,local,0.9329964550921673,0.9240849884112692,1.0,1.0,0.9329964550921673,0.9330411853874611,0.9374528404561022
breast_cancer,0.1,MAR,9,local,0.9301739580131123,0.9321853112965258,1.0,1.0,0.9301739580131123,0.9328258450099105,0.9376116840214657
breast_cancer,0.1,MAR,10,local,0.9384143651211289,0.9322204520751789,1.0,1.0,0.9384143651211289,0.9234661323692704,0.922074182020569
breast_cancer,0.1,MNAR,1,local,0.928731408877851,0.7084606725116406,0.6942914590614078,0.9395552657725015,0.928731408877851,0.6647939819676574,0.8042747020227019
breast_cancer,0.1,MNAR,2,local,0.9281237011926227,0.6023627308133961,0.5903154761971282,0.9385661746669928,0.9281237011926227,0.5868692497990875,0.7282714938375957
