Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MCAR,1,0.9796790042581067,XGBagging,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,0.9772727272727273,0.9929078014184397
breast_cancer,0.1,MCAR,2,0.9793580085162136,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MCAR,3,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MCAR,4,0.9796790042581067,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MCAR,5,0.98,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MCAR,6,0.98,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MCAR,7,0.9790370127743203,XGBagging,0.9594594594594594,1.0,1.0,0.9302325581395349,0.9594594594594594,1.0,0.9793103448275862
breast_cancer,0.1,MCAR,8,0.978716017032427,XGBagging,1.0,0.9859154929577465,0.9859154929577465,1.0,1.0,0.9772727272727273,0.9929078014184397
breast_cancer,0.1,MCAR,9,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MCAR,10,0.9788765149033737,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MAR,1,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MAR,2,0.98,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MAR,3,0.9790370127743203,XGBagging,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9859154929577465,0.9767441860465116,0.9859154929577465
breast_cancer,0.1,MAR,4,0.9783950212905339,XGBagging,0.9594594594594594,1.0,1.0,0.9302325581395349,0.9594594594594594,1.0,0.9793103448275862
breast_cancer,0.1,MAR,5,0.98,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MAR,6,0.9780740255486406,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MAR,7,0.9780740255486406,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MAR,8,0.9790370127743204,XGBagging,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9859154929577465,0.9767441860465116,0.9859154929577465
breast_cancer,0.1,MAR,9,0.9780740255486406,XGBagging,0.971830985915493,0.971830985915493,0.971830985915493,0.9534883720930233,0.971830985915493,0.9534883720930233,0.971830985915493
breast_cancer,0.1,MAR,10,0.9780740255486406,XGBagging,0.9594594594594594,1.0,1.0,0.9302325581395349,0.9594594594594594,1.0,0.9793103448275862
breast_cancer,0.1,MNAR,1,0.9799999999999999,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MNAR,2,0.9796790042581068,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MNAR,3,0.98,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MNAR,4,0.9771110383229611,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MNAR,5,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MNAR,6,0.9796790042581067,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MNAR,7,0.9790370127743204,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
breast_cancer,0.1,MNAR,8,0.98,XGBagging,0.9726027397260274,1.0,1.0,0.9534883720930233,0.9726027397260274,1.0,0.9861111111111112
breast_cancer,0.1,MNAR,9,0.98,XGBagging,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.1,MNAR,10,0.9790370127743203,XGBagging,0.9861111111111112,1.0,1.0,0.9767441860465116,0.9861111111111112,1.0,0.993006993006993
