Dataset,Iteration,ROC-AUC Score,Impute
ICU,1,0.6672930690701561,global
ICU,2,0.6715814748625738,global
ICU,3,0.6705731985948765,global
ICU,4,0.6597665452641717,global
ICU,5,0.6536748761468335,global
ICU,6,0.6641890647268122,global
ICU,7,0.6644104330740469,global
ICU,8,0.6567417164610796,global
ICU,9,0.6681688474949828,global
ICU,10,0.6697911381564702,global
ICU,1,0.6820730418596235,local
ICU,2,0.6653508445929568,local
ICU,3,0.6696182446297978,local
ICU,4,0.665271669052705,local
ICU,5,0.6799466130642873,local
ICU,6,0.6445648415358116,local
ICU,7,0.6634861798286577,local
ICU,8,0.6591379884242128,local
ICU,9,0.6801615181021139,local
ICU,10,0.6533904905328676,local
ICU,1,0.7564285691202466,semi-global
ICU,2,0.7615378152075207,semi-global
ICU,3,0.7661073749592003,semi-global
ICU,4,0.7569747187652494,semi-global
ICU,5,0.7582512223733918,semi-global
ICU,6,0.7692776282239796,semi-global
ICU,7,0.7547271029185075,semi-global
ICU,8,0.7574562353161689,semi-global
ICU,9,0.7694165893762583,semi-global
ICU,10,0.7539805906818468,semi-global
ICU,1,0.7647930609910192,XGBagging
ICU,2,0.7587434033848353,XGBagging
ICU,3,0.7598006392213005,XGBagging
ICU,4,0.7581442546026842,XGBagging
ICU,5,0.751678683036075,XGBagging
ICU,6,0.7478060296213469,XGBagging
ICU,7,0.7647639760986819,XGBagging
ICU,8,0.7589324551850284,XGBagging
ICU,9,0.7458820639932264,XGBagging
ICU,10,0.7499335894958296,XGBagging
