Dataset,Iteration,ROC-AUC Score,Impute
ICU,1,0.667293069,global
ICU,2,0.671581475,global
ICU,3,0.670573199,global
ICU,4,0.659766545,global
ICU,5,0.653674876,global
ICU,6,0.664189065,global
ICU,7,0.664410433,global
ICU,8,0.656741716,global
ICU,9,0.668168847,global
ICU,10,0.669791138,global
ICU,1,0.682073042,semi-global
ICU,2,0.665350845,semi-global
ICU,3,0.669618245,semi-global
ICU,4,0.665271669,semi-global
ICU,5,0.679946613,semi-global
ICU,6,0.644564842,semi-global
ICU,7,0.66348618,semi-global
ICU,8,0.659137988,semi-global
ICU,9,0.680161518,semi-global
ICU,10,0.653390491,semi-global
ICU,1,0.756428569,local
ICU,2,0.761537815,local
ICU,3,0.766107375,local
ICU,4,0.756974719,local
ICU,5,0.758251222,local
ICU,6,0.769277628,local
ICU,7,0.754727103,local
ICU,8,0.757456235,local
ICU,9,0.769416589,local
ICU,10,0.753980591,local
ICU,1,0.764793061,XGBagging
ICU,2,0.758743403,XGBagging
ICU,3,0.759800639,XGBagging
ICU,4,0.758144255,XGBagging
ICU,5,0.751678683,XGBagging
ICU,6,0.74780603,XGBagging
ICU,7,0.764763976,XGBagging
ICU,8,0.758932455,XGBagging
ICU,9,0.745882064,XGBagging
ICU,10,0.749933589,XGBagging
