Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MCAR,1,1,global,0.852754173,0.762435302,0.760757989,0.962903132,0.881374416,0.884128178,0.808987614
breast_cancer,0.1,MCAR,2,1,global,0.877124918,0.730168232,0.745300833,0.904942214,0.87816023,0.853860405,0.788545233
breast_cancer,0.1,MCAR,3,1,global,0.888840949,0.733667095,0.769165072,0.945184549,0.842463673,0.893726773,0.771691109
breast_cancer,0.1,MCAR,4,1,global,0.859607376,0.740727757,0.741093871,0.913431053,0.902202714,0.855078253,0.779761911
breast_cancer,0.1,MCAR,5,1,global,0.882201368,0.732062702,0.728913904,0.917674774,0.862603954,0.910948135,0.778891288
breast_cancer,0.1,MCAR,6,1,global,0.848613026,0.733658702,0.724044185,0.92469186,0.841751249,0.861430533,0.806531383
breast_cancer,0.1,MCAR,7,1,global,0.895535281,0.735686131,0.76234298,0.922334975,0.883931115,0.904290978,0.794134364
breast_cancer,0.1,MCAR,8,1,global,0.882561226,0.743476634,0.76818832,0.939731268,0.857520834,0.877848517,0.813131745
breast_cancer,0.1,MCAR,9,1,global,0.86765564,0.744569016,0.765779862,0.963975154,0.850456598,0.899014866,0.78339787
breast_cancer,0.1,MCAR,10,1,global,0.877714212,0.73706348,0.732785664,0.953191703,0.890893283,0.85937628,0.806396676
breast_cancer,0.1,MAR,1,1,global,0.871824179,0.765389813,0.757049204,0.932562241,0.888873976,0.904469079,0.797186885
breast_cancer,0.1,MAR,2,1,global,0.891188873,0.725933671,0.728330522,0.930301147,0.843945348,0.885534478,0.796866213
breast_cancer,0.1,MAR,3,1,global,0.862634752,0.719199659,0.748849263,0.928693218,0.891570991,0.854158439,0.767265132
breast_cancer,0.1,MAR,4,1,global,0.878469225,0.745887869,0.748464603,0.93802342,0.853073329,0.894561084,0.767176398
breast_cancer,0.1,MAR,5,1,global,0.890581586,0.749397451,0.769561549,0.923978116,0.890976905,0.901946078,0.779861546
breast_cancer,0.1,MAR,6,1,global,0.902776675,0.738744373,0.730894468,0.942300501,0.8648882,0.864524742,0.794593464
breast_cancer,0.1,MAR,7,1,global,0.868468379,0.74413185,0.727687383,0.910433114,0.885077035,0.863034924,0.817670056
breast_cancer,0.1,MAR,8,1,global,0.901502277,0.761352609,0.762188221,0.911706142,0.872275632,0.85964636,0.80647297
breast_cancer,0.1,MAR,9,1,global,0.892786594,0.760309039,0.766526812,0.940442035,0.89216368,0.865074835,0.764932551
