Dataset,Missingness Ratio,Mechanism,Iteration,Impute,ROC-AUC Score,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.1,MCAR,1,global,1,1,1,0.759884757,0.951872918,0.899315677,1,0.820423266
breast_cancer,0.1,MCAR,2,global,0.876554646,1,0.763546821,1,0.964803653,1,1,0.808622629
breast_cancer,0.1,MCAR,3,global,1,1,1,0.79817854,1,1,1,1
breast_cancer,0.1,MCAR,4,global,1,1,0.80016748,0.785362741,0.991246471,0.88532022,1,1
breast_cancer,0.1,MCAR,5,global,1,1,0.799120946,1,0.994245727,0.910311231,1,0.808431296
breast_cancer,0.1,MCAR,6,global,1,0.889907891,0.802619586,1,1,1,0.93083689,1
breast_cancer,0.1,MCAR,7,global,0.889008444,1,1,1,1,1,1,0.831735625
breast_cancer,0.1,MCAR,8,global,0.915771204,0.893236372,1,1,1,0.923463306,0.903811374,0.82991978
breast_cancer,0.1,MCAR,9,global,1,1,0.763839872,1,1,1,1,1
breast_cancer,0.1,MCAR,10,global,0.914908027,1,0.771073885,0.790910699,1,1,1,0.821305526
breast_cancer,0.1,MAR,1,global,0.90177263,1,1,1,1,0.89450805,0.902336832,1
breast_cancer,0.1,MAR,2,global,0.910395509,1,1,1,0.958375573,0.916406151,1,1
breast_cancer,0.1,MAR,3,global,0.897444984,1,1,0.800281483,0.986164239,1,1,1
breast_cancer,0.1,MAR,4,global,1,0.903267631,0.787232181,1,0.993647512,1,1,1
breast_cancer,0.1,MAR,5,global,1,1,1,1,1,1,0.905036275,1
breast_cancer,0.1,MAR,6,global,1,1,1,0.80308665,1,1,1,1
breast_cancer,0.1,MAR,7,global,1,0.890789054,1,0.79151387,1,1,0.904095717,0.854961495
breast_cancer,0.1,MAR,8,global,1,1,0.7615653,1,1,1,1,1
breast_cancer,0.1,MAR,9,global,0.903293714,1,1,0.769016289,1,1,0.921319514,1
breast_cancer,0.1,MAR,10,global,1,1,0.78759915,0.796671367,0.949435367,0.93507328,0.946330179,1
breast_cancer,0.1,MNAR,1,global,0.917279253,0.930380708,1,0.766033723,0.953442679,1,1,1
breast_cancer,0.1,MNAR,2,global,1,0.896696597,1,1,1,1,1,1
breast_cancer,0.1,MNAR,3,global,1,0.923097814,1,1,0.951408459,1,1,1
breast_cancer,0.1,MNAR,4,global,1,1,1,1,0.990482491,1,0.907882616,0.842099902
breast_cancer,0.1,MNAR,5,global,1,1,1,1,1,0.926616035,0.913248996,1
breast_cancer,0.1,MNAR,6,global,1,1,0.794756455,1,1,1,1,1
breast_cancer,0.1,MNAR,7,global,0.899288227,0.91548348,1,0.805553059,1,0.913978827,0.936696625,1
breast_cancer,0.1,MNAR,8,global,1,1,1,0.776974391,0.983102095,1,0.922383486,0.85363278
breast_cancer,0.1,MNAR,9,global,1,0.929482376,1,1,1,1,1,1
breast_cancer,0.1,MNAR,10,global,1,0.894418403,1,0.803465248,0.985098968,1,0.930919713,1
breast_cancer,0.2,MCAR,1,global,0.898536692,1,0.804356367,0.765111092,1,1,1,0.816546146
breast_cancer,0.2,MCAR,2,global,1,0.931688665,1,1,1,0.911265407,0.942545797,1
breast_cancer,0.2,MCAR,3,global,0.911116923,0.889247156,1,1,1,0.922145391,0.944788467,0.821077969
breast_cancer,0.2,MCAR,4,global,0.923545964,0.899526052,1,1,1,0.897092855,1,0.824845568
breast_cancer,0.2,MCAR,5,global,1,0.91920575,1,1,1,1,0.933928455,1
breast_cancer,0.2,MCAR,6,global,1,0.92719001,1,0.787295231,0.97344139,1,1,0.853031227
breast_cancer,0.2,MCAR,7,global,0.875109816,1,0.799532356,0.779459935,1,0.920969021,1,1
breast_cancer,0.2,MCAR,8,global,1,1,0.788900112,1,1,0.930395241,1,1
breast_cancer,0.2,MCAR,9,global,1,1,1,0.774379612,0.951699608,1,1,1
breast_cancer,0.2,MCAR,10,global,0.892795673,0.889582698,1,1,0.952124993,0.886999613,1,0.848541487
breast_cancer,0.2,MAR,1,global,0.910193965,1,0.778312293,0.769402652,0.982456577,0.932006206,0.920528293,0.807865768
breast_cancer,0.2,MAR,2,global,0.923073875,0.890680075,1,0.790204705,1,1,1,0.841637557
breast_cancer,0.2,MAR,3,global,0.900034683,1,1,0.761673053,0.995979394,0.89230901,1,0.85446693
breast_cancer,0.2,MAR,4,global,0.911841176,1,1,1,1,1,0.920250244,1
breast_cancer,0.2,MAR,5,global,1,1,0.798786098,1,1,1,1,0.805813345
breast_cancer,0.2,MAR,6,global,1,0.929890269,0.78913473,1,1,1,1,1
breast_cancer,0.2,MAR,7,global,1,1,1,1,1,0.927059243,0.91354019,0.84236591
breast_cancer,0.2,MAR,8,global,0.87495227,1,1,1,0.957292351,1,1,0.833930709
breast_cancer,0.2,MAR,9,global,1,1,1,0.803682889,1,1,0.915236794,0.839821723
breast_cancer,0.2,MAR,10,global,0.896311813,1,1,0.779324454,1,0.895986797,1,0.816837288
breast_cancer,0.2,MNAR,1,global,1,0.885628702,0.796039391,1,1,1,1,0.844549981
breast_cancer,0.2,MNAR,2,global,1,1,1,0.780873379,1,1,1,0.805201219
breast_cancer,0.2,MNAR,3,global,1,1,1,1,0.965751535,1,1,0.852301871
breast_cancer,0.2,MNAR,4,global,1,0.91814039,1,1,1,0.920037753,1,1
breast_cancer,0.2,MNAR,5,global,1,0.898379909,0.769915841,1,1,1,0.936355967,0.810779633
breast_cancer,0.2,MNAR,6,global,0.91962427,1,1,1,1,1,0.946207691,1
breast_cancer,0.2,MNAR,7,global,1,1,1,1,0.987923677,1,0.935271278,0.838385241
breast_cancer,0.2,MNAR,8,global,1,1,0.784797703,1,1,1,0.905825714,0.824598875
breast_cancer,0.2,MNAR,9,global,1,1,1,1,0.985931501,1,1,0.85294971
breast_cancer,0.2,MNAR,10,global,1,1,0.794161686,1,0.987773586,1,1,1
breast_cancer,0.3,MCAR,1,global,1,1,1,1,1,0.925335,0.914053785,1
breast_cancer,0.3,MCAR,2,global,1,1,1,1,0.972050475,1,1,1
breast_cancer,0.3,MCAR,3,global,0.889091056,0.914529714,1,1,1,0.910762086,1,1
breast_cancer,0.3,MCAR,4,global,0.915706072,0.919788072,1,1,1,1,1,1
breast_cancer,0.3,MCAR,5,global,1,0.913187258,1,1,1,0.919329341,1,1
breast_cancer,0.3,MCAR,6,global,1,1,1,1,0.975432266,0.904885913,0.930027131,1
breast_cancer,0.3,MCAR,7,global,1,1,1,1,0.989012246,0.889683994,0.922244345,0.846249438
breast_cancer,0.3,MCAR,8,global,1,0.92296784,1,1,1,1,0.907852317,1
breast_cancer,0.3,MCAR,9,global,1,1,0.775810262,0.77883357,1,1,1,0.850657706
breast_cancer,0.3,MCAR,10,global,0.873633902,1,1,0.779775706,0.980821158,1,1,0.852747902
breast_cancer,0.3,MAR,1,global,1,0.931561235,0.768861041,1,1,1,1,1
breast_cancer,0.3,MAR,2,global,0.915981304,1,0.779014798,1,1,1,1,1
breast_cancer,0.3,MAR,3,global,1,1,0.800443727,0.782408653,1,1,1,1
breast_cancer,0.3,MAR,4,global,1,1,1,1,1,1,1,0.824269407
breast_cancer,0.3,MAR,5,global,1,1,0.760322824,0.790419616,1,1,0.913221185,0.825907081
breast_cancer,0.3,MAR,6,global,1,1,1,1,1,1,0.907035156,0.832170672
breast_cancer,0.3,MAR,7,global,1,0.903942299,1,1,1,1,1,1
breast_cancer,0.3,MAR,8,global,0.918106643,1,1,1,1,1,1,1
breast_cancer,0.3,MAR,9,global,0.896423902,0.912895256,1,1,0.976016235,0.906141875,1,1
breast_cancer,0.3,MAR,10,global,1,1,0.798190833,0.793548942,1,0.900999002,1,1
breast_cancer,0.3,MNAR,1,global,1,1,1,1,1,0.892308513,0.910517018,1
breast_cancer,0.3,MNAR,2,global,1,1,1,0.77168252,1,1,0.941983692,1
breast_cancer,0.3,MNAR,3,global,1,1,1,1,1,1,1,0.807797058
breast_cancer,0.3,MNAR,4,global,1,1,1,1,1,0.906644018,1,1
